Difference: 0.031352999999999895 - min/max (50 pop, 20 it)

{'node1': 'RO1', 'node2': 'RO2', 'distance': 0.1521129304624628, 'coeff': 0.0059761278176734605, 'pipe_found': True}
{'node1': 'RO4', 'node2': 'RO3', 'distance': 0.2993278738017592, 'coeff': 0.0023987590066247735, 'pipe_found': True}
{'node1': 'RO2', 'node2': 'RO3', 'distance': 0.30483173848769307, 'coeff': 0.02540251313446018, 'pipe_found': True}
{'node1': 'SD6', 'node2': 'HP11', 'distance': 0.11416591034396727, 'coeff': 0.04221366924370393, 'pipe_found': True}
{'node1': 'HP11', 'node2': 'SD7', 'distance': 0.11981081338492094, 'coeff': 0.05452237909035557, 'pipe_found': True}
{'node1': 'SD7', 'node2': 'HP10', 'distance': 0.17686237581262684, 'coeff': 0.019642940899103067, 'pipe_found': True}
{'node1': 'SD8', 'node2': 'HP9', 'distance': 0.3006834109469002, 'coeff': 0.017478035510579606, 'pipe_found': True}
{'node1': 'HP25', 'node2': 'SW8', 'distance': 0.17759765461723964, 'coeff': 0.016441746997153738, 'pipe_found': True}
{'node1': 'J35', 'node2': 'HP24', 'distance': 0.31872292841853983, 'coeff': 0.0008371863078215358, 'pipe_found': True}
{'node1': 'HP22', 'node2': 'SW10', 'distance': 0.15445374377444532, 'coeff': 0.033461993468208585, 'pipe_found': True}
{'node1': 'SW/AN_Z', 'node2': 'AN1.1', 'distance': 0.2832125505057972, 'coeff': 0.0318509262596221, 'pipe_found': True}
{'node1': 'AN1.1', 'node2': 'AN1', 'distance': 0.18852842167961095, 'coeff': 0.013460314201908508, 'pipe_found': True}
{'node1': 'AN1', 'node2': 'AN/PO', 'distance': 0.3570801760195742, 'coeff': 0.01153175176333656, 'pipe_found': True}
{'node1': 'J32', 'node2': 'PO3', 'distance': 0.30088425412481146, 'coeff': 0.020359540106192266, 'pipe_found': True}
{'node1': 'PO3', 'node2': 'J31', 'distance': 0.22980286379119735, 'coeff': 0.013440319736350487, 'pipe_found': True}
{'node1': 'J30', 'node2': 'PO2', 'distance': 0.1710716875110436, 'coeff': 0.013559910550022099, 'pipe_found': True}
{'node1': 'PO1', 'node2': 'HP13', 'distance': 0.1784424911663689, 'coeff': 0.03374273036356653, 'pipe_found': True}
{'node1': 'AN/PO', 'node2': 'AN2', 'distance': 0.16670061543944947, 'coeff': 0.005492174577379905, 'pipe_found': True}
{'node1': 'AN2', 'node2': 'HP15', 'distance': 0.3179405338050436, 'coeff': 0.012188078197734395, 'pipe_found': True}
{'node1': 'HP15', 'node2': 'AN/JPII1', 'distance': 0.18925888309587738, 'coeff': 0.005908108688786835, 'pipe_found': True}
{'node1': 'AN/JPII1', 'node2': 'AN/JPII2', 'distance': 0.2308458166902403, 'coeff': 0.022190815469018896, 'pipe_found': True}
{'node1': 'JPII2', 'node2': 'JPII2.1', 'distance': 0.12140213915907978, 'coeff': 0.01679651585470353, 'pipe_found': True}
{'node1': 'JPII2', 'node2': 'JPII3', 'distance': 0.2547413234434417, 'coeff': 0.023734844929333223, 'pipe_found': True}
{'node1': 'AN/JPII1', 'node2': 'JP21', 'distance': 0.6269060236873547, 'coeff': 0.0037628589319756546, 'pipe_found': True}
{'node1': 'AN/JPII2', 'node2': 'HP16', 'distance': 0.29982029599568466, 'coeff': 0.006180515456679636, 'pipe_found': True}
{'node1': 'SW10', 'node2': 'SW11', 'distance': 0.20492772230962641, 'coeff': 0.00945894010556907, 'pipe_found': True}
{'node1': 'SW12', 'node2': 'SW13', 'distance': 0.17543641607245286, 'coeff': 0.010719729974463533, 'pipe_found': True}
{'node1': 'SW13', 'node2': 'SW14', 'distance': 0.23945344449579978, 'coeff': 0.006631057299921728, 'pipe_found': True}
{'node1': 'SW/JPII', 'node2': 'HP21', 'distance': 0.27919756596657574, 'coeff': 0.025368304608070005, 'pipe_found': True}
{'node1': 'HP21', 'node2': 'SW15', 'distance': 0.13782502914758496, 'coeff': 0.0037897156087937645, 'pipe_found': True}
{'node1': 'JPII4', 'node2': 'JPII3', 'distance': 0.15772364184890364, 'coeff': 0.016206072624079294, 'pipe_found': True}
{'node1': 'SW15', 'node2': 'SW/P01', 'distance': 0.2453878920083355, 'coeff': 0.02131473816032177, 'pipe_found': True}
{'node1': 'SW16', 'node2': 'J20', 'distance': 0.1, 'coeff': 0.015955925758607537, 'pipe_found': True}
{'node1': 'J22', 'node2': 'AN5', 'distance': 0.4668678191888861, 'coeff': 0.0033059048790668013, 'pipe_found': True}
{'node1': 'J21', 'node2': 'SW17', 'distance': 0.34780081976449606, 'coeff': 0.018502434330186935, 'pipe_found': True}
{'node1': 'SW17', 'node2': 'J3', 'distance': 0.10730753736979537, 'coeff': 0.028187277991765236, 'pipe_found': True}
{'node1': 'J4', 'node2': 'SW/ZA', 'distance': 0.23495715943118897, 'coeff': 0.0033083824494617555, 'pipe_found': True}
{'node1': 'AN5', 'node2': 'AN4', 'distance': 0.49398963693746445, 'coeff': 0.007461697347890277, 'pipe_found': True}
{'node1': 'AN4', 'node2': 'AN3', 'distance': 0.14367726234914702, 'coeff': 0.024113772304949068, 'pipe_found': True}
{'node1': 'SW/ZA_Z', 'node2': 'ZA1', 'distance': 0.31016580405422833, 'coeff': 0.006189287963547241, 'pipe_found': True}
{'node1': 'HP19', 'node2': 'SW/LE', 'distance': 0.14500883335812215, 'coeff': 0.024634714299738403, 'pipe_found': True}
{'node1': 'SW/LE', 'node2': 'SW18', 'distance': 0.18327223013370358, 'coeff': 0.0035207108805280552, 'pipe_found': True}
{'node1': 'SW18', 'node2': 'HP18', 'distance': 0.20495994124282213, 'coeff': 0.010626031133947346, 'pipe_found': True}
{'node1': 'HP18', 'node2': 'J17', 'distance': 0.1877250055589845, 'coeff': 0.028290832446628993, 'pipe_found': True}
{'node1': 'LE0', 'node2': 'LE1', 'distance': 0.2246205571411709, 'coeff': 0.013519099989053821, 'pipe_found': True}
{'node1': 'SD17', 'node2': 'SD16', 'distance': 0.13535202178106287, 'coeff': 0.01763901509518583, 'pipe_found': True}
{'node1': 'LA1', 'node2': 'LA2', 'distance': 0.3560676467673134, 'coeff': 0.004333726358250689, 'pipe_found': True}
{'node1': 'HP12', 'node2': 'LA3', 'distance': 0.5142497514693735, 'coeff': 0.009045271348946086, 'pipe_found': True}
{'node1': 'LA3', 'node2': 'SD/LA', 'distance': 0.3081357204073184, 'coeff': 0.02639255139874082, 'pipe_found': True}
{'node1': 'J19', 'node2': 'SD13', 'distance': 0.2977497369730523, 'coeff': 0.008136081163414494, 'pipe_found': True}
{'node1': 'HP8', 'node2': 'SD/LA', 'distance': 0.19152254469840804, 'coeff': 0.0026943645254922767, 'pipe_found': True}
{'node1': 'SD13', 'node2': 'SD14', 'distance': 0.2564681681833215, 'coeff': 0.026256318495884858, 'pipe_found': True}
{'node1': 'HP7', 'node2': 'GO1.1', 'distance': 0.357843572391063, 'coeff': 0.002522656535073187, 'pipe_found': True}
