{'node1': 'LA2', 'node2': 'HP12', 'distance': 0.4217716992983254, 'coeff': 0.04376054042765199, 'pipe_found': True}
{'node1': 'SO3', 'node2': 'SO3.1', 'distance': 0.8141655488578708, 'coeff': 0.1, 'pipe_found': True}
{'node1': 'ZD8', 'node2': 'J23', 'distance': 0.4082822859449171, 'coeff': 0.1, 'pipe_found': True}
{'node1': 'K3', 'node2': 'SW/K01', 'distance': 0.9, 'coeff': 0.015371035356922925, 'pipe_found': True}
{'node1': 'K1', 'node2': 'SW/K02', 'distance': 0.6713470818150337, 'coeff': 0.08427188985743855, 'pipe_found': True}
{'node1': 'AN3', 'node2': 'HP16', 'distance': 0.6615520245588397, 'coeff': 0.03913762780203298, 'pipe_found': True}
{'node1': 'SO2', 'node2': 'J24', 'distance': 0.24027709383078832, 'coeff': 0.058537527020898206, 'pipe_found': True}
{'node1': 'J5', 'node2': 'J7', 'distance': 0.27395115602198594, 'coeff': 0.03342712754702124, 'pipe_found': True}
{'node1': 'P3', 'node2': 'P2', 'distance': 0.39169624049740004, 'coeff': 0.09713300197881179, 'pipe_found': True}
{'node1': 'J10', 'node2': 'SW21', 'distance': 0.32059730459495245, 'coeff': 0.01886694320440946, 'pipe_found': True}
{'node1': 'J18', 'node2': 'SW19', 'distance': 0.47124583578600876, 'coeff': 0.012160401749573736, 'pipe_found': True}
{'node1': 'J27', 'node2': 'J7', 'distance': 0.27260474148514724, 'coeff': 0.04242742505028305, 'pipe_found': True}
{'node1': 'J38', 'node2': 'SW1', 'distance': 0.6095467045000488, 'coeff': 0.007256717510339267, 'pipe_found': True}
{'node1': 'AN/JPII2', 'node2': 'J42', 'distance': 0.4915410802633142, 'coeff': 0.02944119172504919, 'pipe_found': True}
